age,category
18,Teenage
19,Teenage
20,Teenage
21,Teenage
22,Teenage
23,youngage
24,youngage
25,youngage
26,youngage
27,youngage
28,young Adult
29,young Adult
30,young Adult
31,senior Adult
32,senior Adult
33,senior Adult
34,senior Adult
35,senior Adult
36,Middle-Aged
37,Middle-Aged
38,Middle-Aged
39,Middle-Aged
40,Middle-Aged
41,Middle-Aged Adult
42,Middle-Aged Adult
43,Middle-Aged Adult
44,Middle-Aged Adult
45,Middle-Aged Adult
46,Middle-Aged Adult
47,Middle-Aged Adult
48,Middle-Aged Adult
49,Middle-Aged Adult
50,Middle-Aged Adult
51,Very Young Senior Citizen
52,Very Young Senior Citizen
53,Very Young Senior Citizen
54,Very Young Senior Citizen
55,Very Young Senior Citizen
56,Very Young Senior Citizen
57,Very Young Senior Citizen
58,Very Young Senior Citizen
59,Very Young Senior Citizen
60,Very Young Senior Citizen
61,Young Senior Citizen
62,Young Senior Citizen
63,Young Senior Citizen
64,Young Senior Citizen
65,Young Senior Citizen
66,Young Senior Citizen
67,Young Senior Citizen
68,Young Senior Citizen
69,Young Senior Citizen
70,Young Senior Citizen
71,Senior Citizen
72,Senior Citizen
73,Senior Citizen
74,Senior Citizen
75,Senior Citizen
76,Senior Citizen
77,Senior Citizen
78,Senior Citizen
79,Senior Citizen
80,Senior Citizen
81,Old Senior Citizen
82,Old Senior Citizen
83,Old Senior Citizen
84,Old Senior Citizen
85,Old Senior Citizen
86,Old Senior Citizen
87,Old Senior Citizen
88,Old Senior Citizen
89,Old Senior Citizen
90,Old Senior Citizen
91,VeryOld Senior Citizen
92,VeryOld Senior Citizen
93,VeryOld Senior Citizen
94,VeryOld Senior Citizen
95,VeryOld Senior Citizen
96,VeryOld Senior Citizen
97,VeryOld Senior Citizen
98,VeryOld Senior Citizen
99,VeryOld Senior Citizen
100,VeryOld Senior Citizen
